Advanced Calibration Data
,Temperature,date,m,b,Thermistor,A,B,C,KOhm,min,max
,,,1,0,4,0.0014035971835255623,0.00023726772633381188,9.962900548998732e-8,3,-20,60
,Pressure,date,m2,m1,m0,b2,b1,b0,LinearA,LinearB
,,14-Dec-2020 07:25:00,1.0770625635814213e-7,-0.000007510356226703152,1.0035929679870605,-0.000009661966032581404,0.001807626336812973,0.22031164169311523,0,1

Field Calibration Data
,Temperature,date,Slope,Offset,Unit
,,,1,0,0
,Pressure,date,Slope,Offset,Unit
,,,1,0,0

Sensor/File information
Sensor SN,0011204039,,Modbus Addr.,2
Sensor Type,LevelSCOUT,,Initialized w/fw Rev,v2.4
Sensor Name,Seametrics Smart Sensor
File Name,Test File #4

# Records,1441
Statistical Data,,Temperature (°C),Pressure (psi)
,Sensor Range,,50 psia
,Minimum,17.58,14.712
,Maximum,23.97,21.617
,Mean,19.26,17.288
,Variance,2.342,10.4427
,Std Deviation,1.530,3.2315

Rec #,Date / Time,Temperature (°C),Pressure (psi)
1,05-May-2021 09:15:00,18.93,21.476
2,05-May-2021 09:16:00,18.56,21.493
3,05-May-2021 09:17:00,18.35,21.501
4,05-May-2021 09:18:00,18.22,21.508
5,05-May-2021 09:19:00,18.14,21.512
6,05-May-2021 09:20:00,18.08,21.512
7,05-May-2021 09:21:00,18.04,21.514
8,05-May-2021 09:22:00,18.01,21.517
9,05-May-2021 09:23:00,17.99,21.522
10,05-May-2021 09:24:00,17.97,21.531
11,05-May-2021 09:25:00,17.96,21.536
12,05-May-2021 09:26:00,17.95,21.548
13,05-May-2021 09:27:00,17.94,21.551
14,05-May-2021 09:28:00,17.93,21.551
15,05-May-2021 09:29:00,17.92,21.553
16,05-May-2021 09:30:00,17.92,21.558
17,05-May-2021 09:31:00,17.91,21.556
18,05-May-2021 09:32:00,17.91,21.559
19,05-May-2021 09:33:00,17.91,21.561
20,05-May-2021 09:34:00,17.91,21.563
21,05-May-2021 09:35:00,17.90,21.565
22,05-May-2021 09:36:00,17.90,21.566
23,05-May-2021 09:37:00,17.90,21.566
24,05-May-2021 09:38:00,17.90,21.568
25,05-May-2021 09:39:00,17.90,21.570
26,05-May-2021 09:40:00,17.90,21.570
27,05-May-2021 09:41:00,17.90,21.571
28,05-May-2021 09:42:00,17.90,21.571
29,05-May-2021 09:43:00,17.90,21.576
30,05-May-2021 09:44:00,17.90,21.575
31,05-May-2021 09:45:00,17.90,21.575
32,05-May-2021 09:46:00,17.89,21.575
33,05-May-2021 09:47:00,17.89,21.576
34,05-May-2021 09:48:00,17.89,21.576
35,05-May-2021 09:49:00,17.89,21.578
36,05-May-2021 09:50:00,17.88,21.581
37,05-May-2021 09:51:00,17.88,21.578
38,05-May-2021 09:52:00,17.88,21.581
39,05-May-2021 09:53:00,17.88,21.580
40,05-May-2021 09:54:00,17.88,21.581
41,05-May-2021 09:55:00,17.88,21.581
42,05-May-2021 09:56:00,17.88,21.583
43,05-May-2021 09:57:00,17.88,21.583
44,05-May-2021 09:58:00,17.88,21.576
45,05-May-2021 09:59:00,17.88,21.580
46,05-May-2021 10:00:00,17.88,21.581
47,05-May-2021 10:01:00,17.87,21.583
48,05-May-2021 10:02:00,17.87,21.583
49,05-May-2021 10:03:00,17.87,21.583
50,05-May-2021 10:04:00,17.88,21.583
51,05-May-2021 10:05:00,17.88,21.585
52,05-May-2021 10:06:00,17.87,21.586
53,05-May-2021 10:07:00,17.87,21.586
54,05-May-2021 10:08:00,17.86,21.588
55,05-May-2021 10:09:00,17.85,21.586
56,05-May-2021 10:10:00,17.84,21.588
57,05-May-2021 10:11:00,17.83,21.588
58,05-May-2021 10:12:00,17.83,21.588
59,05-May-2021 10:13:00,17.82,21.590
60,05-May-2021 10:14:00,17.81,21.591
61,05-May-2021 10:15:00,17.81,21.590
62,05-May-2021 10:16:00,17.79,21.590
63,05-May-2021 10:17:00,17.77,21.591
64,05-May-2021 10:18:00,17.76,21.591
65,05-May-2021 10:19:00,17.75,21.593
66,05-May-2021 10:20:00,17.75,21.593
67,05-May-2021 10:21:00,17.75,21.593
68,05-May-2021 10:22:00,17.75,21.593
69,05-May-2021 10:23:00,17.74,21.595
70,05-May-2021 10:24:00,17.74,21.595
71,05-May-2021 10:25:00,17.75,21.595
72,05-May-2021 10:26:00,17.76,21.595
73,05-May-2021 10:27:00,17.76,21.593
74,05-May-2021 10:28:00,17.77,21.596
75,05-May-2021 10:29:00,17.77,21.595
76,05-May-2021 10:30:00,17.78,21.596
77,05-May-2021 10:31:00,17.79,21.595
78,05-May-2021 10:32:00,17.79,21.595
79,05-May-2021 10:33:00,17.79,21.596
80,05-May-2021 10:34:00,17.79,21.596
81,05-May-2021 10:35:00,17.79,21.595
82,05-May-2021 10:36:00,17.79,21.596
83,05-May-2021 10:37:00,17.79,21.595
84,05-May-2021 10:38:00,17.79,21.596
85,05-May-2021 10:39:00,17.79,21.596
86,05-May-2021 10:40:00,17.79,21.596
87,05-May-2021 10:41:00,17.79,21.598
88,05-May-2021 10:42:00,17.78,21.596
89,05-May-2021 10:43:00,17.78,21.596
90,05-May-2021 10:44:00,17.78,21.598
91,05-May-2021 10:45:00,17.78,21.596
92,05-May-2021 10:46:00,17.78,21.598
93,05-May-2021 10:47:00,17.78,21.598
94,05-May-2021 10:48:00,17.78,21.600
95,05-May-2021 10:49:00,17.78,21.598
96,05-May-2021 10:50:00,17.78,21.600
97,05-May-2021 10:51:00,17.79,21.600
98,05-May-2021 10:52:00,17.79,21.598
99,05-May-2021 10:53:00,17.79,21.598
100,05-May-2021 10:54:00,17.79,21.598
101,05-May-2021 10:55:00,17.79,21.600
102,05-May-2021 10:56:00,17.79,21.600
103,05-May-2021 10:57:00,17.79,21.598
104,05-May-2021 10:58:00,17.79,21.598
105,05-May-2021 10:59:00,17.79,21.598
106,05-May-2021 11:00:00,17.79,21.598
107,05-May-2021 11:01:00,17.79,21.600
108,05-May-2021 11:02:00,17.79,21.600
109,05-May-2021 11:03:00,17.79,21.598
110,05-May-2021 11:04:00,17.79,21.596
111,05-May-2021 11:05:00,17.79,21.598
112,05-May-2021 11:06:00,17.79,21.600
113,05-May-2021 11:07:00,17.79,21.600
114,05-May-2021 11:08:00,17.79,21.596
115,05-May-2021 11:09:00,17.78,21.598
116,05-May-2021 11:10:00,17.79,21.598
117,05-May-2021 11:11:00,17.79,21.598
118,05-May-2021 11:12:00,17.79,21.600
119,05-May-2021 11:13:00,17.79,21.600
120,05-May-2021 11:14:00,17.79,21.600
121,05-May-2021 11:15:00,17.79,21.600
122,05-May-2021 11:16:00,17.79,21.600
123,05-May-2021 11:17:00,17.79,21.602
124,05-May-2021 11:18:00,17.79,21.600
125,05-May-2021 11:19:00,17.79,21.602
126,05-May-2021 11:20:00,17.79,21.602
127,05-May-2021 11:21:00,17.79,21.602
128,05-May-2021 11:22:00,17.79,21.602
129,05-May-2021 11:23:00,17.79,21.602
130,05-May-2021 11:24:00,17.79,21.602
131,05-May-2021 11:25:00,17.79,21.602
132,05-May-2021 11:26:00,17.79,21.600
133,05-May-2021 11:27:00,17.79,21.602
134,05-May-2021 11:28:00,17.79,21.602
135,05-May-2021 11:29:00,17.79,21.602
136,05-May-2021 11:30:00,17.79,21.605
137,05-May-2021 11:31:00,17.79,21.602
138,05-May-2021 11:32:00,17.79,21.602
139,05-May-2021 11:33:00,17.79,21.602
140,05-May-2021 11:34:00,17.78,21.603
141,05-May-2021 11:35:00,17.78,21.603
142,05-May-2021 11:36:00,17.76,21.603
143,05-May-2021 11:37:00,17.74,21.601
144,05-May-2021 11:38:00,17.73,21.601
145,05-May-2021 11:39:00,17.72,21.603
146,05-May-2021 11:40:00,17.72,21.601
147,05-May-2021 11:41:00,17.72,21.601
148,05-May-2021 11:42:00,17.72,21.601
149,05-May-2021 11:43:00,17.72,21.601
150,05-May-2021 11:44:00,17.72,21.603
151,05-May-2021 11:45:00,17.72,21.603
152,05-May-2021 11:46:00,17.72,21.601
153,05-May-2021 11:47:00,17.72,21.603
154,05-May-2021 11:48:00,17.73,21.601
155,05-May-2021 11:49:00,17.73,21.605
156,05-May-2021 11:50:00,17.73,21.603
157,05-May-2021 11:51:00,17.73,21.605
158,05-May-2021 11:52:00,17.74,21.603
159,05-May-2021 11:53:00,17.74,21.603
160,05-May-2021 11:54:00,17.74,21.603
161,05-May-2021 11:55:00,17.75,21.603
162,05-May-2021 11:56:00,17.75,21.603
163,05-May-2021 11:57:00,17.75,21.603
164,05-May-2021 11:58:00,17.76,21.605
165,05-May-2021 11:59:00,17.76,21.603
166,05-May-2021 12:00:00,17.76,21.605
167,05-May-2021 12:01:00,17.77,21.605
168,05-May-2021 12:02:00,17.77,21.603
169,05-May-2021 12:03:00,17.77,21.603
170,05-May-2021 12:04:00,17.77,21.605
171,05-May-2021 12:05:00,17.77,21.605
172,05-May-2021 12:06:00,17.77,21.603
173,05-May-2021 12:07:00,17.77,21.605
174,05-May-2021 12:08:00,17.77,21.605
175,05-May-2021 12:09:00,17.77,21.605
176,05-May-2021 12:10:00,17.77,21.605
177,05-May-2021 12:11:00,17.77,21.605
178,05-May-2021 12:12:00,17.77,21.605
179,05-May-2021 12:13:00,17.76,21.605
180,05-May-2021 12:14:00,17.75,21.605
181,05-May-2021 12:15:00,17.75,21.605
182,05-May-2021 12:16:00,17.75,21.603
183,05-May-2021 12:17:00,17.75,21.605
184,05-May-2021 12:18:00,17.75,21.605
185,05-May-2021 12:19:00,17.75,21.605
186,05-May-2021 12:20:00,17.75,21.605
187,05-May-2021 12:21:00,17.76,21.603
188,05-May-2021 12:22:00,17.76,21.603
189,05-May-2021 12:23:00,17.75,21.603
190,05-May-2021 12:24:00,17.74,21.605
191,05-May-2021 12:25:00,17.73,21.603
192,05-May-2021 12:26:00,17.73,21.601
193,05-May-2021 12:27:00,17.72,21.603
194,05-May-2021 12:28:00,17.72,21.600
195,05-May-2021 12:29:00,17.72,21.603
196,05-May-2021 12:30:00,17.72,21.603
197,05-May-2021 12:31:00,17.72,21.603
198,05-May-2021 12:32:00,17.72,21.603
199,05-May-2021 12:33:00,17.72,21.605
200,05-May-2021 12:34:00,17.71,21.603
201,05-May-2021 12:35:00,17.71,21.605
202,05-May-2021 12:36:00,17.72,21.603
203,05-May-2021 12:37:00,17.72,21.605
204,05-May-2021 12:38:00,17.72,21.603
205,05-May-2021 12:39:00,17.72,21.603
206,05-May-2021 12:40:00,17.71,21.605
207,05-May-2021 12:41:00,17.70,21.605
208,05-May-2021 12:42:00,17.70,21.605
209,05-May-2021 12:43:00,17.69,21.605
210,05-May-2021 12:44:00,17.68,21.605
211,05-May-2021 12:45:00,17.68,21.605
212,05-May-2021 12:46:00,17.67,21.606
213,05-May-2021 12:47:00,17.67,21.605
214,05-May-2021 12:48:00,17.67,21.605
215,05-May-2021 12:49:00,17.67,21.605
216,05-May-2021 12:50:00,17.67,21.605
217,05-May-2021 12:51:00,17.67,21.605
218,05-May-2021 12:52:00,17.67,21.606
219,05-May-2021 12:53:00,17.67,21.606
220,05-May-2021 12:54:00,17.68,21.605
221,05-May-2021 12:55:00,17.68,21.606
222,05-May-2021 12:56:00,17.69,21.605
223,05-May-2021 12:57:00,17.69,21.605
224,05-May-2021 12:58:00,17.69,21.605
225,05-May-2021 12:59:00,17.69,21.600
226,05-May-2021 13:00:00,17.69,21.605
227,05-May-2021 13:01:00,17.69,21.605
228,05-May-2021 13:02:00,17.69,21.606
229,05-May-2021 13:03:00,17.69,21.605
230,05-May-2021 13:04:00,17.69,21.605
231,05-May-2021 13:05:00,17.69,21.606
232,05-May-2021 13:06:00,17.69,21.605
233,05-May-2021 13:07:00,17.69,21.605
234,05-May-2021 13:08:00,17.69,21.605
235,05-May-2021 13:09:00,17.69,21.605
236,05-May-2021 13:10:00,17.69,21.605
237,05-May-2021 13:11:00,17.69,21.605
238,05-May-2021 13:12:00,17.69,21.605
239,05-May-2021 13:13:00,17.70,21.603
240,05-May-2021 13:14:00,17.70,21.603
241,05-May-2021 13:15:00,17.70,21.605
242,05-May-2021 13:16:00,17.70,21.603
243,05-May-2021 13:17:00,17.70,21.603
244,05-May-2021 13:18:00,17.70,21.603
245,05-May-2021 13:19:00,17.70,21.605
246,05-May-2021 13:20:00,17.70,21.603
247,05-May-2021 13:21:00,17.70,21.603
248,05-May-2021 13:22:00,17.70,21.603
249,05-May-2021 13:23:00,17.69,21.603
250,05-May-2021 13:24:00,17.69,21.601
251,05-May-2021 13:25:00,17.69,21.605
252,05-May-2021 13:26:00,17.69,21.603
253,05-May-2021 13:27:00,17.70,21.603
