Advanced Calibration Data
,Temperature,date,m,b,Thermistor,A,B,C,KOhm,min,max
,,,1,0,4,0.0014035971835255623,0.00023726772633381188,9.962900548998732e-8,3,-20,60
,Pressure,date,m2,m1,m0,b2,b1,b0,LinearA,LinearB
,,24-Aug-2020 09:27:45,4.67599988951406e-7,0.00003301670221844688,1.010563850402832,0.00015278111095540226,-0.007007943466305733,-0.0350460559129715,-0.000008718800017959438,1.0026094913482666

Field Calibration Data
,Temperature,date,Slope,Offset,Unit
,,,1,0,0
,Pressure,date,Slope,Offset,Unit
,,,1,0,0

Sensor/File information
Sensor SN,0012202845,,Modbus Addr.,2
Sensor Type,LevelSCOUT,,Initialized w/fw Rev,v2.4
Sensor Name,Seametrics Smart Sensor
File Name,Test File #4

# Records,1441
Statistical Data,,Temperature (°C),Pressure (psi)
,Sensor Range,,300 psia
,Minimum,17.70,14.543
,Maximum,24.01,19.560
,Mean,19.45,16.432
,Variance,2.468,5.3631
,Std Deviation,1.571,2.3158

Rec #,Date / Time,Temperature (°C),Pressure (psi)
1,05-May-2021 09:15:00,17.97,19.457
2,05-May-2021 09:16:00,17.95,19.467
3,05-May-2021 09:17:00,17.93,19.457
4,05-May-2021 09:18:00,17.91,19.457
5,05-May-2021 09:19:00,17.90,19.447
6,05-May-2021 09:20:00,17.90,19.467
7,05-May-2021 09:21:00,17.89,19.457
8,05-May-2021 09:22:00,17.89,19.457
9,05-May-2021 09:23:00,17.88,19.457
10,05-May-2021 09:24:00,17.87,19.457
11,05-May-2021 09:25:00,17.87,19.457
12,05-May-2021 09:26:00,17.85,19.467
13,05-May-2021 09:27:00,17.85,19.467
14,05-May-2021 09:28:00,17.84,19.467
15,05-May-2021 09:29:00,17.85,19.488
16,05-May-2021 09:30:00,17.85,19.467
17,05-May-2021 09:31:00,17.85,19.467
18,05-May-2021 09:32:00,17.84,19.467
19,05-May-2021 09:33:00,17.85,19.478
20,05-May-2021 09:34:00,17.85,19.467
21,05-May-2021 09:35:00,17.84,19.467
22,05-May-2021 09:36:00,17.84,19.457
23,05-May-2021 09:37:00,17.83,19.467
24,05-May-2021 09:38:00,17.83,19.478
25,05-May-2021 09:39:00,17.83,19.478
26,05-May-2021 09:40:00,17.83,19.467
27,05-May-2021 09:41:00,17.83,19.478
28,05-May-2021 09:42:00,17.83,19.467
29,05-May-2021 09:43:00,17.82,19.467
30,05-May-2021 09:44:00,17.82,19.478
31,05-May-2021 09:45:00,17.81,19.467
32,05-May-2021 09:46:00,17.81,19.478
33,05-May-2021 09:47:00,17.81,19.478
34,05-May-2021 09:48:00,17.82,19.467
35,05-May-2021 09:49:00,17.83,19.478
36,05-May-2021 09:50:00,17.84,19.478
37,05-May-2021 09:51:00,17.84,19.478
38,05-May-2021 09:52:00,17.84,19.478
39,05-May-2021 09:53:00,17.84,19.467
40,05-May-2021 09:54:00,17.83,19.478
41,05-May-2021 09:55:00,17.82,19.467
42,05-May-2021 09:56:00,17.81,19.478
43,05-May-2021 09:57:00,17.81,19.478
44,05-May-2021 09:58:00,17.80,19.467
45,05-May-2021 09:59:00,17.80,19.478
46,05-May-2021 10:00:00,17.80,19.478
47,05-May-2021 10:01:00,17.80,19.478
48,05-May-2021 10:02:00,17.78,19.498
49,05-May-2021 10:03:00,17.78,19.488
50,05-May-2021 10:04:00,17.78,19.478
51,05-May-2021 10:05:00,17.78,19.488
52,05-May-2021 10:06:00,17.78,19.488
53,05-May-2021 10:07:00,17.78,19.488
54,05-May-2021 10:08:00,17.78,19.488
55,05-May-2021 10:09:00,17.78,19.498
56,05-May-2021 10:10:00,17.78,19.488
57,05-May-2021 10:11:00,17.77,19.498
58,05-May-2021 10:12:00,17.76,19.498
59,05-May-2021 10:13:00,17.76,19.488
60,05-May-2021 10:14:00,17.75,19.498
61,05-May-2021 10:15:00,17.74,19.498
62,05-May-2021 10:16:00,17.73,19.488
63,05-May-2021 10:17:00,17.73,19.498
64,05-May-2021 10:18:00,17.73,19.498
65,05-May-2021 10:19:00,17.73,19.508
66,05-May-2021 10:20:00,17.72,19.508
67,05-May-2021 10:21:00,17.71,19.508
68,05-May-2021 10:22:00,17.70,19.508
69,05-May-2021 10:23:00,17.70,19.498
70,05-May-2021 10:24:00,17.70,19.508
71,05-May-2021 10:25:00,17.70,19.508
72,05-May-2021 10:26:00,17.71,19.508
73,05-May-2021 10:27:00,17.72,19.508
74,05-May-2021 10:28:00,17.74,19.508
75,05-May-2021 10:29:00,17.76,19.519
76,05-May-2021 10:30:00,17.77,19.519
77,05-May-2021 10:31:00,17.77,19.519
78,05-May-2021 10:32:00,17.76,19.508
79,05-May-2021 10:33:00,17.76,19.508
80,05-May-2021 10:34:00,17.75,19.508
81,05-May-2021 10:35:00,17.76,19.519
82,05-May-2021 10:36:00,17.77,19.508
83,05-May-2021 10:37:00,17.77,19.508
84,05-May-2021 10:38:00,17.77,19.508
85,05-May-2021 10:39:00,17.78,19.519
86,05-May-2021 10:40:00,17.79,19.508
87,05-May-2021 10:41:00,17.80,19.519
88,05-May-2021 10:42:00,17.80,19.508
89,05-May-2021 10:43:00,17.80,19.519
90,05-May-2021 10:44:00,17.81,19.519
91,05-May-2021 10:45:00,17.82,19.519
92,05-May-2021 10:46:00,17.83,19.519
93,05-May-2021 10:47:00,17.84,19.529
94,05-May-2021 10:48:00,17.84,19.519
95,05-May-2021 10:49:00,17.84,19.519
96,05-May-2021 10:50:00,17.83,19.519
97,05-May-2021 10:51:00,17.83,19.529
98,05-May-2021 10:52:00,17.83,19.539
99,05-May-2021 10:53:00,17.82,19.529
100,05-May-2021 10:54:00,17.81,19.529
101,05-May-2021 10:55:00,17.80,19.539
102,05-May-2021 10:56:00,17.79,19.529
103,05-May-2021 10:57:00,17.79,19.529
104,05-May-2021 10:58:00,17.80,19.539
105,05-May-2021 10:59:00,17.81,19.529
106,05-May-2021 11:00:00,17.81,19.529
107,05-May-2021 11:01:00,17.82,19.529
108,05-May-2021 11:02:00,17.82,19.529
109,05-May-2021 11:03:00,17.82,19.529
110,05-May-2021 11:04:00,17.83,19.539
111,05-May-2021 11:05:00,17.84,19.539
112,05-May-2021 11:06:00,17.85,19.529
113,05-May-2021 11:07:00,17.85,19.529
114,05-May-2021 11:08:00,17.85,19.529
115,05-May-2021 11:09:00,17.84,19.529
116,05-May-2021 11:10:00,17.83,19.529
117,05-May-2021 11:11:00,17.83,19.529
118,05-May-2021 11:12:00,17.82,19.539
119,05-May-2021 11:13:00,17.82,19.529
120,05-May-2021 11:14:00,17.81,19.529
121,05-May-2021 11:15:00,17.81,19.529
122,05-May-2021 11:16:00,17.81,19.529
123,05-May-2021 11:17:00,17.81,19.539
