Serial_number:
2100439
Project ID:

Location:
ciutat de granada
LEVEL
UNIT: m
Offset: 0,000000 m
TEMPERATURE
UNIT: °C
Date;Time;ms;LEVEL;TEMPERATURE
05/05/2021;09:15:00;0;10,3369;25,268
05/05/2021;09:16:00;0;18,0795;23,656
05/05/2021;09:17:00;0;20,1119;20,380
05/05/2021;09:18:00;0;20,0950;19,012
05/05/2021;09:19:00;0;20,0879;18,417
05/05/2021;09:20:00;0;19,6861;18,135
05/05/2021;09:21:00;0;19,5956;17,949
05/05/2021;09:22:00;0;19,5839;17,843
05/05/2021;09:23:00;0;19,5831;17,780
05/05/2021;09:24:00;0;19,5784;17,739
05/05/2021;09:25:00;0;19,5761;17,709
05/05/2021;09:26:00;0;20,0783;17,704
05/05/2021;09:27:00;0;20,0802;17,731
05/05/2021;09:28:00;0;20,0819;17,752
05/05/2021;09:29:00;0;20,0808;17,772
05/05/2021;09:30:00;0;20,0815;17,800
05/05/2021;09:31:00;0;20,0832;17,849
05/05/2021;09:32:00;0;20,0844;17,914
05/05/2021;09:33:00;0;20,0855;17,949
05/05/2021;09:34:00;0;20,0836;17,988
05/05/2021;09:35:00;0;20,0843;18,019
05/05/2021;09:36:00;0;20,0850;18,034
05/05/2021;09:37:00;0;20,0855;18,039
05/05/2021;09:38:00;0;20,0848;18,034
05/05/2021;09:39:00;0;20,0875;18,020
05/05/2021;09:40:00;0;20,0880;18,009
05/05/2021;09:41:00;0;20,0883;17,995
05/05/2021;09:42:00;0;20,0884;17,976
05/05/2021;09:43:00;0;20,0879;17,957
05/05/2021;09:44:00;0;20,0891;17,940
05/05/2021;09:45:00;0;20,0887;17,926
05/05/2021;09:46:00;0;20,0882;17,914
05/05/2021;09:47:00;0;20,0878;17,903
05/05/2021;09:48:00;0;20,0881;17,893
05/05/2021;09:49:00;0;20,0880;17,883
05/05/2021;09:50:00;0;20,0876;17,879
05/05/2021;09:51:00;0;20,0886;17,871
05/05/2021;09:52:00;0;20,0884;17,862
05/05/2021;09:53:00;0;20,0886;17,854
05/05/2021;09:54:00;0;20,0876;17,846
05/05/2021;09:55:00;0;20,0882;17,841
05/05/2021;09:56:00;0;20,0882;17,836
05/05/2021;09:57:00;0;20,0872;17,833
05/05/2021;09:58:00;0;19,6180;17,827
05/05/2021;09:59:00;0;19,6039;17,782
05/05/2021;10:00:00;0;19,5974;17,707
05/05/2021;10:01:00;0;19,5927;17,667
05/05/2021;10:02:00;0;19,5910;17,646
05/05/2021;10:03:00;0;19,5889;17,637
05/05/2021;10:04:00;0;19,5863;17,632
05/05/2021;10:05:00;0;19,5858;17,630
05/05/2021;10:06:00;0;19,5857;17,630
05/05/2021;10:07:00;0;19,5835;17,630
05/05/2021;10:08:00;0;19,5848;17,632
05/05/2021;10:09:00;0;19,5843;17,634
05/05/2021;10:10:00;0;19,5849;17,636
05/05/2021;10:11:00;0;19,5850;17,639
05/05/2021;10:12:00;0;19,5854;17,642
05/05/2021;10:13:00;0;19,5854;17,645
05/05/2021;10:14:00;0;19,5842;17,648
05/05/2021;10:15:00;0;19,5840;17,651
05/05/2021;10:16:00;0;19,5847;17,654
05/05/2021;10:17:00;0;19,5855;17,657
05/05/2021;10:18:00;0;19,5855;17,661
05/05/2021;10:19:00;0;19,5865;17,664
05/05/2021;10:20:00;0;19,5867;17,667
05/05/2021;10:21:00;0;19,5859;17,670
05/05/2021;10:22:00;0;19,5861;17,673
05/05/2021;10:23:00;0;19,5869;17,676
05/05/2021;10:24:00;0;19,5870;17,680
05/05/2021;10:25:00;0;19,5872;17,683
05/05/2021;10:26:00;0;19,5871;17,686
